"id","case_number","date","block","iucr","primary_type","description","location_description","arrest","domestic","beat","district","ward","community_area","fbi_code","x_coordinate","y_coordinate","year","updated_on","latitude","longitude","location"
"13445964","JH245442","2024-04-30T23:00:00.000","024XX E 93RD ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","false","true","0423","004","7","48","08B","1194234","1843779","2024","2024-05-08T15:41:27.000","41.726260872","-87.564092211","
,  
(41.726260872, -87.564092211)"
"13446526","JH246467","2024-04-30T22:58:00.000","038XX S WENTWORTH AVE","0890","THEFT","FROM BUILDING","APARTMENT","false","true","0915","009","3","34","06","1175590","1879383","2024","2024-05-08T15:41:27.000","41.82439906","-87.631321567","
,  
(41.82439906, -87.631321567)"
"13445841","JH245409","2024-04-30T22:56:00.000","048XX W SCHOOL ST","2027","NARCOTICS","POSSESS - CRACK","STREET","true","false","1634","016","31","15","18","1143591","1921504","2024","2024-05-08T15:41:27.000","41.940641675","-87.747662351","
,  
(41.940641675, -87.747662351)"
"13445849","JH245413","2024-04-30T22:56:00.000","049XX W QUINCY ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","SIDEWALK","false","true","1533","015","28","25","08B","1143603","1898550","2024","2024-05-08T15:41:27.000","41.877653187","-87.748193765","
,  
(41.877653187, -87.748193765)"
"13445840","JH245414","2024-04-30T22:53:00.000","044XX S MOZART ST","1477","WEAPONS VIOLATION","RECKLESS FIREARM DISCHARGE","STREET","false","false","0922","009","12","58","15","1158105","1875186","2024","2024-05-08T15:41:27.000","41.813256103","-87.695582945","
,  
(41.813256103, -87.695582945)"
"13445839","JH245434","2024-04-30T22:51:00.000","096XX S OGLESBY AVE","141B","WEAPONS VIOLATION","UNLAWFUL USE - OTHER FIREARM","STREET","false","false","0431","004","7","51","15","1193769","1841776","2024","2024-05-08T15:41:27.000","41.720775841","-87.565860925","
,  
(41.720775841, -87.565860925)"
"13446078","JH245793","2024-04-30T22:50:00.000","068XX S HONORE ST","0820","THEFT","$500 AND UNDER","STREET","false","false","0726","007","17","67","06","1165198","1859326","2024","2024-05-08T15:41:27.000","41.769586902","-87.670014276","
,  
(41.769586902, -87.670014276)"
"13447950","JH247989","2024-04-30T22:40:00.000","003XX E EASTGATE PL","0810","THEFT","OVER $500","VEHICLE NON-COMMERCIAL","false","false","0133","001","4","33","06","1178993","1887544","2024","2024-05-08T15:41:27.000","41.846716462","-87.618588021","
,  
(41.846716462, -87.618588021)"
"13445851","JH245404","2024-04-30T22:40:00.000","065XX S CARPENTER ST","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","true","0724","007","16","68","14","1170436","1861513","2024","2024-05-08T15:41:27.000","41.775475838","-87.650750488","
,  
(41.775475838, -87.650750488)"
"13445958","JH245572","2024-04-30T22:30:00.000","082XX S ELLIS AVE","0820","THEFT","$500 AND UNDER","STREET","false","false","0631","006","8","44","06","1184332","1850517","2024","2024-05-08T15:41:27.000","41.74498778","-87.600153332","
,  
(41.74498778, -87.600153332)"
